pricePaths.path78 = [250.0,240.0,230.0,220.0,225.0,210.0,195.0,180.0,175.0,180.0,185.0,180.0,195.0,205.0,190.0,185.0,170.0,180.0,175.0,170.0,175.0,160.0,145.0,140.0,150.0,145.0,130.0,145.0,135.0,120.0,105.0,100.0,105.0,110.0,105.0,90.0,80.0,85.0,70.0,75.0,80.0,]
pricePaths.path79 = [250.0,260.0,255.0,265.0,270.0,275.0,270.0,255.0,270.0,280.0,270.0,285.0,270.0,275.0,290.0,280.0,290.0,300.0,310.0,320.0,315.0,305.0,320.0,335.0,350.0,355.0,365.0,370.0,365.0,360.0,370.0,380.0,395.0,410.0,425.0,440.0,435.0,420.0,435.0,450.0,445.0,]
pricePaths.path80 = [250.0,245.0,235.0,225.0,220.0,225.0,235.0,240.0,230.0,235.0,230.0,245.0,250.0,240.0,245.0,255.0,240.0,230.0,215.0,205.0,215.0,210.0,205.0,215.0,230.0,245.0,230.0,215.0,220.0,230.0,215.0,220.0,210.0,220.0,215.0,205.0,220.0,225.0,240.0,245.0,255.0,]
pricePaths.path81 = [250.0,265.0,275.0,280.0,270.0,265.0,260.0,255.0,240.0,230.0,220.0,225.0,230.0,215.0,225.0,235.0,225.0,235.0,250.0,245.0,255.0,265.0,250.0,255.0,250.0,260.0,255.0,265.0,270.0,285.0,290.0,280.0,275.0,265.0,250.0,260.0,265.0,260.0,255.0,240.0,225.0,]
pricePaths.path82 = [250.0,235.0,225.0,210.0,195.0,200.0,195.0,185.0,200.0,190.0,185.0,190.0,175.0,160.0,155.0,170.0,180.0,165.0,170.0,165.0,150.0,135.0,130.0,120.0,135.0,145.0,135.0,120.0,130.0,120.0,115.0,100.0,90.0,75.0,65.0,80.0,95.0,85.0,70.0,80.0,90.0,]
pricePaths.path83 = [250.0,245.0,260.0,245.0,250.0,240.0,235.0,220.0,235.0,230.0,225.0,215.0,205.0,190.0,185.0,180.0,195.0,180.0,165.0,150.0,140.0,125.0,140.0,135.0,120.0,105.0,115.0,105.0,100.0,90.0,95.0,80.0,85.0,90.0,85.0,100.0,85.0,70.0,55.0,65.0,60.0,]
pricePaths.path84 = [250.0,235.0,250.0,240.0,225.0,240.0,235.0,225.0,235.0,225.0,230.0,215.0,220.0,235.0,230.0,220.0,235.0,245.0,235.0,250.0,260.0,275.0,285.0,300.0,290.0,275.0,280.0,265.0,275.0,260.0,250.0,255.0,265.0,280.0,285.0,270.0,255.0,250.0,265.0,250.0,235.0,]
pricePaths.path85 = [250.0,235.0,220.0,235.0,230.0,220.0,210.0,215.0,210.0,205.0,215.0,220.0,210.0,200.0,205.0,190.0,175.0,190.0,185.0,200.0,185.0,180.0,170.0,185.0,170.0,165.0,175.0,185.0,195.0,205.0,190.0,205.0,200.0,185.0,190.0,205.0,190.0,175.0,180.0,190.0,200.0,]
pricePaths.path86 = [250.0,240.0,250.0,260.0,270.0,260.0,245.0,250.0,245.0,235.0,230.0,215.0,205.0,215.0,220.0,230.0,240.0,230.0,215.0,225.0,240.0,245.0,230.0,240.0,245.0,260.0,255.0,270.0,265.0,270.0,285.0,290.0,280.0,265.0,250.0,260.0,255.0,240.0,255.0,270.0,285.0,]
pricePaths.path87 = [250.0,240.0,230.0,240.0,250.0,240.0,225.0,210.0,205.0,215.0,220.0,235.0,245.0,230.0,245.0,250.0,240.0,230.0,215.0,210.0,220.0,235.0,245.0,250.0,245.0,235.0,220.0,215.0,230.0,215.0,200.0,195.0,205.0,210.0,200.0,210.0,225.0,215.0,220.0,210.0,225.0,]
pricePaths.path88 = [250.0,260.0,265.0,250.0,235.0,230.0,220.0,210.0,205.0,220.0,225.0,220.0,225.0,240.0,255.0,265.0,250.0,245.0,255.0,265.0,255.0,260.0,275.0,285.0,290.0,285.0,275.0,280.0,270.0,285.0,295.0,290.0,280.0,295.0,300.0,305.0,300.0,295.0,300.0,295.0,285.0,]
