pricePaths.path23 = [250.0,260.0,275.0,290.0,295.0,280.0,270.0,280.0,290.0,295.0,305.0,290.0,300.0,310.0,305.0,315.0,325.0,315.0,330.0,345.0,355.0,365.0,370.0,375.0,385.0,400.0,415.0,405.0,410.0,395.0,390.0,375.0,380.0,395.0,385.0,370.0,380.0,385.0,395.0,390.0,405.0,]
pricePaths.path24 = [250.0,265.0,270.0,260.0,265.0,270.0,255.0,260.0,250.0,255.0,250.0,255.0,260.0,250.0,235.0,250.0,235.0,230.0,235.0,245.0,260.0,250.0,245.0,235.0,250.0,235.0,245.0,255.0,240.0,255.0,260.0,270.0,285.0,290.0,275.0,290.0,300.0,290.0,300.0,290.0,300.0,]
pricePaths.path25 = [250.0,260.0,245.0,235.0,250.0,240.0,245.0,235.0,225.0,230.0,235.0,230.0,240.0,230.0,245.0,250.0,240.0,225.0,220.0,235.0,250.0,245.0,240.0,250.0,265.0,280.0,265.0,250.0,245.0,240.0,225.0,230.0,245.0,240.0,225.0,220.0,215.0,205.0,220.0,225.0,215.0,]
pricePaths.path26 = [250.0,240.0,250.0,245.0,230.0,220.0,205.0,200.0,205.0,210.0,215.0,225.0,220.0,205.0,215.0,220.0,210.0,225.0,240.0,250.0,265.0,270.0,260.0,245.0,235.0,220.0,225.0,210.0,205.0,210.0,200.0,210.0,195.0,205.0,195.0,180.0,185.0,180.0,170.0,180.0,175.0,]
pricePaths.path27 = [250.0,255.0,270.0,275.0,290.0,275.0,280.0,290.0,305.0,290.0,300.0,310.0,320.0,335.0,340.0,325.0,310.0,295.0,280.0,295.0,300.0,315.0,330.0,325.0,320.0,305.0,315.0,330.0,315.0,320.0,305.0,300.0,305.0,310.0,315.0,320.0,305.0,310.0,320.0,330.0,320.0,]
pricePaths.path28 = [250.0,240.0,230.0,235.0,225.0,220.0,235.0,225.0,235.0,230.0,245.0,230.0,240.0,250.0,245.0,235.0,225.0,210.0,225.0,210.0,200.0,190.0,180.0,170.0,165.0,155.0,165.0,170.0,160.0,170.0,185.0,175.0,185.0,170.0,160.0,155.0,150.0,160.0,150.0,165.0,150.0,]
pricePaths.path29 = [250.0,235.0,220.0,230.0,220.0,210.0,195.0,180.0,175.0,170.0,180.0,175.0,190.0,195.0,185.0,180.0,195.0,190.0,180.0,190.0,205.0,215.0,210.0,200.0,215.0,220.0,230.0,215.0,230.0,240.0,255.0,270.0,275.0,290.0,280.0,295.0,290.0,285.0,290.0,275.0,280.0,]
pricePaths.path30 = [250.0,255.0,260.0,275.0,285.0,295.0,280.0,270.0,285.0,300.0,315.0,300.0,305.0,290.0,300.0,310.0,325.0,340.0,345.0,350.0,360.0,375.0,385.0,380.0,390.0,400.0,385.0,380.0,390.0,375.0,370.0,355.0,370.0,355.0,340.0,355.0,365.0,360.0,370.0,365.0,350.0,]
pricePaths.path31 = [250.0,245.0,255.0,265.0,250.0,245.0,230.0,235.0,245.0,250.0,235.0,240.0,235.0,250.0,260.0,275.0,280.0,285.0,295.0,280.0,265.0,275.0,265.0,275.0,265.0,255.0,245.0,240.0,225.0,235.0,225.0,240.0,255.0,245.0,255.0,270.0,285.0,295.0,300.0,315.0,310.0,]
pricePaths.path32 = [250.0,240.0,255.0,265.0,280.0,265.0,275.0,265.0,255.0,260.0,275.0,290.0,305.0,300.0,290.0,295.0,300.0,295.0,305.0,290.0,295.0,285.0,290.0,285.0,300.0,305.0,300.0,315.0,330.0,345.0,335.0,345.0,355.0,365.0,370.0,375.0,380.0,395.0,400.0,415.0,410.0,]
pricePaths.path33 = [250.0,265.0,250.0,260.0,255.0,270.0,265.0,280.0,270.0,260.0,245.0,240.0,230.0,215.0,225.0,210.0,205.0,215.0,205.0,195.0,200.0,205.0,210.0,225.0,235.0,220.0,235.0,245.0,260.0,245.0,235.0,220.0,225.0,230.0,225.0,235.0,245.0,255.0,265.0,255.0,250.0,]
