pricePaths.path34 = [250.0,260.0,275.0,290.0,295.0,280.0,270.0,280.0,290.0,295.0,305.0,290.0,300.0,310.0,305.0,315.0,325.0,315.0,330.0,345.0,355.0,365.0,370.0,375.0,385.0,400.0,415.0,405.0,410.0,395.0,390.0,375.0,380.0,395.0,385.0,370.0,380.0,385.0,395.0,390.0,405.0,]
pricePaths.path35 = [250.0,240.0,245.0,230.0,215.0,205.0,195.0,180.0,175.0,160.0,145.0,155.0,165.0,160.0,170.0,160.0,175.0,180.0,190.0,195.0,205.0,200.0,215.0,205.0,220.0,225.0,230.0,240.0,245.0,255.0,265.0,260.0,250.0,245.0,260.0,265.0,255.0,265.0,250.0,245.0,260.0,]
pricePaths.path36 = [250.0,255.0,265.0,255.0,260.0,270.0,265.0,280.0,285.0,275.0,260.0,265.0,275.0,285.0,275.0,260.0,265.0,270.0,285.0,295.0,280.0,290.0,275.0,285.0,275.0,260.0,245.0,235.0,225.0,235.0,230.0,220.0,235.0,245.0,235.0,250.0,260.0,270.0,265.0,255.0,250.0,]
pricePaths.path37 = [250.0,265.0,275.0,285.0,280.0,270.0,285.0,270.0,285.0,300.0,285.0,270.0,255.0,270.0,260.0,255.0,260.0,250.0,240.0,255.0,240.0,235.0,225.0,220.0,210.0,195.0,190.0,205.0,190.0,205.0,190.0,185.0,170.0,180.0,175.0,170.0,185.0,180.0,195.0,210.0,225.0,]
pricePaths.path38 = [250.0,255.0,245.0,230.0,240.0,245.0,250.0,260.0,255.0,250.0,235.0,250.0,245.0,235.0,225.0,210.0,215.0,225.0,210.0,215.0,230.0,245.0,230.0,240.0,235.0,230.0,240.0,225.0,220.0,230.0,240.0,245.0,240.0,230.0,235.0,230.0,235.0,230.0,220.0,235.0,240.0,]
pricePaths.path39 = [250.0,245.0,240.0,230.0,215.0,220.0,215.0,225.0,230.0,220.0,225.0,215.0,205.0,195.0,185.0,175.0,190.0,200.0,205.0,195.0,190.0,175.0,185.0,195.0,200.0,215.0,200.0,190.0,175.0,180.0,165.0,150.0,155.0,140.0,130.0,115.0,105.0,110.0,95.0,90.0,80.0,]
pricePaths.path40 = [250.0,260.0,265.0,260.0,265.0,260.0,250.0,245.0,250.0,245.0,235.0,220.0,215.0,210.0,215.0,230.0,220.0,230.0,215.0,210.0,195.0,180.0,170.0,180.0,175.0,165.0,150.0,155.0,140.0,130.0,120.0,105.0,95.0,90.0,85.0,75.0,85.0,75.0,65.0,80.0,95.0,]
pricePaths.path41 = [250.0,240.0,255.0,250.0,255.0,250.0,240.0,245.0,260.0,245.0,235.0,250.0,235.0,225.0,220.0,235.0,245.0,235.0,220.0,210.0,205.0,215.0,225.0,210.0,220.0,215.0,205.0,195.0,180.0,175.0,190.0,180.0,195.0,200.0,185.0,200.0,205.0,215.0,200.0,205.0,210.0,]
pricePaths.path42 = [250.0,235.0,240.0,235.0,220.0,210.0,225.0,215.0,225.0,230.0,245.0,240.0,225.0,235.0,225.0,210.0,215.0,210.0,215.0,220.0,210.0,220.0,215.0,220.0,225.0,235.0,240.0,255.0,245.0,230.0,240.0,255.0,240.0,250.0,240.0,245.0,230.0,235.0,220.0,235.0,250.0,]
pricePaths.path43 = [250.0,260.0,270.0,260.0,255.0,260.0,270.0,265.0,255.0,265.0,250.0,245.0,260.0,255.0,240.0,230.0,225.0,210.0,205.0,200.0,195.0,190.0,175.0,160.0,155.0,150.0,165.0,155.0,145.0,150.0,140.0,135.0,140.0,145.0,130.0,145.0,150.0,160.0,155.0,170.0,160.0,]
pricePaths.path44 = [250.0,260.0,255.0,260.0,245.0,250.0,245.0,260.0,270.0,265.0,280.0,275.0,265.0,250.0,255.0,240.0,250.0,255.0,240.0,225.0,210.0,195.0,190.0,200.0,195.0,180.0,170.0,165.0,160.0,175.0,170.0,185.0,195.0,190.0,180.0,165.0,155.0,140.0,135.0,140.0,125.0,]
